category,table_index,MCS,CBS_num_info_bits,sigmoid_center_db,sigmoid_scale_db,fit_loss
PDSCH,1,0,100,-6.534586387911515,0.5,-1.0
PDSCH,1,1,100,-5.25637522330425,0.5,-1.0
PDSCH,1,2,100,-4.24854055053761,0.5,-1.0
PDSCH,1,3,100,-2.9737378828238814,0.4868608852043726,0.0004924149889096
PDSCH,1,4,100,-1.8666594164475976,0.4706230687361032,0.0004829029878322
PDSCH,1,5,100,-0.9025100001581016,0.4533127840601018,0.0004734877071233
PDSCH,1,6,100,0.111016874833916,0.4680438039387095,0.0004992580027429
PDSCH,1,7,100,1.0325048303630666,0.4412196018377788,0.0004935681251919
PDSCH,1,8,100,2.024974604739849,0.4845038754284861,0.0004943342051279
PDSCH,1,9,100,2.82872105293201,0.4548054695385485,0.0004991658566588
PDSCH,1,10,100,3.809968815762869,0.0701445942174448,0.015625999988175
PDSCH,1,11,100,3.788356814624457,0.5212608296655107,0.0004981131479744
PDSCH,1,12,100,5.59568131531186,0.0701456506281497,0.0220067711624596
PDSCH,1,13,100,5.6397964506277205,0.5368671505714199,0.0004987541658924
PDSCH,1,14,100,7.384658781239248,0.0715587345268815,0.0265228844143493
PDSCH,1,15,100,7.662558813209158,0.5599383972325255,0.0004924943796634
PDSCH,1,16,100,8.319938930759392,0.5060109539767966,0.0004901978913828
PDSCH,1,17,100,8.90502150347691,0.5927329775673176,0.0004859430608079
PDSCH,1,18,100,9.321207901509611,0.5656556901899542,0.0004962802532213
PDSCH,1,19,100,10.089742280121312,0.6228246045978624,0.0004956259460102
PDSCH,1,20,100,11.167389979353224,0.5956586935265723,0.0004991464567044
PDSCH,1,21,100,12.278659231541909,0.5945997981940593,0.0004972961353394
PDSCH,1,22,100,13.12843949928119,0.6373350117737813,0.0004935764923213
PDSCH,1,23,100,14.194947924533846,0.6422256465098597,0.0004910841413408
PDSCH,1,24,100,14.893956449431975,0.6525490859026497,0.0004979853535644
PDSCH,1,25,100,16.39475409452106,0.7069796295523787,0.0004963342267031
PDSCH,1,26,100,17.288349314738085,0.720713025114405,0.000708321735084
PDSCH,1,27,100,18.442482707430056,0.7296673220075036,0.0017244208590287
PDSCH,1,28,100,18.320787440943544,0.752662602004922,0.0014578231347017
PDSCH,2,0,100,-6.534586387911515,0.5,-1.0
PDSCH,2,1,100,-4.24854055053761,0.5,-1.0
PDSCH,2,2,100,-1.9133477446560063,0.4467548011077409,0.0004973786829129
PDSCH,2,3,100,0.0876392118536816,0.4741576202077915,0.0004803494389738
PDSCH,2,4,100,1.9134138132740792,0.4767444840051184,0.0004975406230879
PDSCH,2,5,100,4.373053433410537,0.0787174304649476,0.0205765485360261
PDSCH,2,6,100,4.84028116802619,0.5087003736038026,0.0004919810522154
PDSCH,2,7,100,5.686078693201932,0.5083842929720181,0.0004737995914983
