run,tb_count,round0,round1,round2,round3,dtx,FFT/DFT（接收时隙摊销）_us_tb,FFT/DFT（接收时隙摊销）_calls_tb,FFT/DFT（接收时隙摊销）_max_call_us,PUSCH 前端_us_tb,PUSCH 前端_calls_tb,PUSCH 前端_max_call_us,LDPC 解码_us_tb,LDPC 解码_calls_tb,LDPC 解码_max_call_us,信道估计（含测量）_us_tb,信道估计（含测量）_calls_tb,信道估计（含测量）_max_call_us,LDPC 速率恢复_us_tb,LDPC 速率恢复_calls_tb,LDPC 速率恢复_max_call_us,LDPC 解交织_us_tb,LDPC 解交织_calls_tb,LDPC 解交织_max_call_us,资源提取_us_tb,资源提取_calls_tb,资源提取_max_call_us,信道补偿_us_tb,信道补偿_calls_tb,信道补偿_max_call_us,LLR 计算_us_tb,LLR 计算_calls_tb,LLR 计算_max_call_us,信道测量（估计子步骤）_us_tb,信道测量（估计子步骤）_calls_tb,信道测量（估计子步骤）_max_call_us,meta_label,meta_channel,meta_duration_seconds,meta_capture,meta_start_utc,meta_architecture,meta_kernel,meta_oai_head,meta_oai_describe,meta_cpu_online,meta_cpu_governor,meta_cpu_max_khz,meta_end_utc,meta_ue_sync_markers,meta_gnb_ulsch_log_lines,meta_csv_data_rows,elapsed_seconds
ideal_native_r11,1958,1677,94,94,93,374,18729.524757916242,3.001532175689479,7993.551,2669.284,1.0,2967.992,2578.88,2.0,5222.575,2427.542,1.0,2644.741,35.866,2.0,39.287,11.02,2.0,28.246,17.615,13.0,17.832,461.188,13.0,174.768,13.949,13.0,22.705,386.40899999999993,3.0,172.186,ideal_native_r11,ideal,95,native,2026-08-30T08:14:10Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:15:52Z,2,0,0,102.0
ideal_native_r12,1959,1678,94,94,93,373,18726.98242113323,3.003062787136294,11292.216,2672.5065237366002,1.0005104645227156,2789.454,2567.834,2.0,5124.755,2429.5645737621235,1.0005104645227156,2513.488,35.934,2.0,37.37,10.764,2.0,33.287,18.407999999999998,13.0,70.324,462.449,13.0,220.973,14.338999999999999,13.0,20.414,385.695,3.0,168.48,ideal_native_r12,ideal,95,native,2026-08-30T08:15:52Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:17:33Z,2,0,0,101.0
ideal_native_r13,1958,1677,94,94,93,374,18747.100694586316,3.003064351378958,8407.93,2671.083,1.0,2816.226,2572.74,2.0,5196.131,2427.791,1.0,2606.252,35.9,2.0,70.283,10.716,2.0,23.955,18.2,13.0,26.997,461.318,13.0,194.808,14.040000000000001,13.0,19.289,385.91999999999996,3.0,156.647,ideal_native_r13,ideal,95,native,2026-08-30T08:17:33Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:19:15Z,2,0,0,102.0
ideal_native_r14,1957,1676,94,94,93,373,18763.456157383753,3.003065917220235,9547.2,2658.916975983649,1.0005109862033725,2823.153,2575.672,2.0,5145.992,2416.3120715380687,1.0005109862033725,2492.86,36.22,2.0,35.663,10.6,2.0,18.789,17.628,13.0,19.373,460.30400000000003,13.0,179.603,13.702000000000002,13.0,22.247,386.625,3.0,155.689,ideal_native_r14,ideal,95,native,2026-08-30T08:19:15Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:20:56Z,2,0,0,101.0
ideal_native_r15,1960,1679,94,94,93,374,18735.061275510205,3.0020408163265304,8887.187,2662.621,1.0,2767.018,2572.94,2.0,5149.002,2421.624,1.0,2526.715,35.998,2.0,42.162,10.798,2.0,14.998,17.862000000000002,13.0,22.039,460.71999999999997,13.0,207.015,13.897,13.0,20.413,386.51399999999995,3.0,156.564,ideal_native_r15,ideal,95,native,2026-08-30T08:20:56Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:22:38Z,2,0,0,102.0
ideal_native_r16,1958,1677,94,94,93,374,18750.238896833504,3.003064351378958,8019.775,2668.807,1.0,2844.794,2574.172,2.0,5184.522,2427.304,1.0,2566.868,35.716,2.0,42.87,10.774,2.0,18.706,17.823,13.0,19.831,460.29099999999994,13.0,132.527,14.17,13.0,138.65,384.51599999999996,3.0,151.441,ideal_native_r16,ideal,95,native,2026-08-30T08:22:38Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:24:19Z,2,0,0,101.0
ideal_native_r17,1959,1710,84,83,82,331,18891.981502807554,3.0020418580908625,11709.541,2658.972,1.0,2773.987,2545.292,2.0,1963.38,2416.818,1.0,2535.267,35.976,2.0,46.952,10.576,2.0,21.038,17.654,13.0,28.455,460.12199999999996,13.0,177.103,13.767,13.0,21.997,385.30800000000005,3.0,151.231,ideal_native_r17,ideal,95,native,2026-08-30T08:24:19Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:26:01Z,2,0,0,102.0
ideal_native_r18,1958,1677,94,94,93,373,18747.782390194076,3.003064351378958,8043.797,2663.817784473953,1.0005107252298264,2855.34,2563.142,2.0,5214.245,2423.0708917262514,1.0005107252298264,2562.545,35.808,2.0,43.827,10.844,2.0,34.705,17.433,13.0,20.663,458.9,13.0,176.06,13.780000000000001,13.0,27.538,385.9136874361594,3.000510725229826,168.728,ideal_native_r18,ideal,95,native,2026-08-30T08:26:01Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:27:42Z,2,0,0,101.0
ideal_native_r19,1960,1679,94,94,93,374,18740.017974489798,3.003061224489796,8036.84,2657.793,1.0,2795.098,2568.162,2.0,5199.913,2415.38,1.0,2500.303,35.954,2.0,44.911,10.776,2.0,16.914,18.018,13.0,21.664,460.239,13.0,178.519,14.079,13.0,23.164,386.00700000000006,3.0,169.811,ideal_native_r19,ideal,95,native,2026-08-30T08:27:42Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:29:24Z,2,0,0,102.0
ideal_native_r20,1956,1675,94,94,93,373,18768.487079754603,3.003067484662577,11109.118,2672.444,1.0,2809.474,2584.964,2.0,5148.59,2430.671,1.0,2514.594,35.85,2.0,36.495,10.848,2.0,32.038,17.771,13.0,20.914,463.54099999999994,13.0,174.186,14.352000000000002,13.0,17.206,385.95599999999996,3.0,156.73,ideal_native_r20,ideal,95,native,2026-08-30T08:29:24Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:31:05Z,2,0,0,101.0
