run,tb_count,round0,round1,round2,round3,dtx,FFT/DFT（接收时隙摊销）_us_tb,FFT/DFT（接收时隙摊销）_calls_tb,FFT/DFT（接收时隙摊销）_max_call_us,PUSCH 前端_us_tb,PUSCH 前端_calls_tb,PUSCH 前端_max_call_us,LDPC 解码_us_tb,LDPC 解码_calls_tb,LDPC 解码_max_call_us,信道估计（含测量）_us_tb,信道估计（含测量）_calls_tb,信道估计（含测量）_max_call_us,LDPC 速率恢复_us_tb,LDPC 速率恢复_calls_tb,LDPC 速率恢复_max_call_us,LDPC 解交织_us_tb,LDPC 解交织_calls_tb,LDPC 解交织_max_call_us,资源提取_us_tb,资源提取_calls_tb,资源提取_max_call_us,信道补偿_us_tb,信道补偿_calls_tb,信道补偿_max_call_us,LLR 计算_us_tb,LLR 计算_calls_tb,LLR 计算_max_call_us,信道测量（估计子步骤）_us_tb,信道测量（估计子步骤）_calls_tb,信道测量（估计子步骤）_max_call_us,meta_label,meta_channel,meta_duration_seconds,meta_capture,meta_start_utc,meta_architecture,meta_kernel,meta_oai_head,meta_oai_describe,meta_cpu_online,meta_cpu_governor,meta_cpu_max_khz,meta_end_utc,meta_ue_sync_markers,meta_gnb_ulsch_log_lines,meta_csv_data_rows,elapsed_seconds
awgn_m3p5_native_r11,1956,1674,94,94,94,374,18153.42615030675,3.0015337423312882,10338.777,2715.465,1.0,2913.507,3798.002,2.0,5337.992,2434.327,1.0,2539.638,35.796,2.0,33.496,11.124,2.0,26.163,15.795,13.0,119.86,464.386,13.0,248.719,12.74,13.0,20.288,385.76399999999995,3.0,149.731,awgn_m3p5_native_r11,-3.5,95,native,2026-08-30T08:48:00Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:49:42Z,2,0,0,102.0
awgn_m3p5_native_r12,1955,1671,95,95,94,378,18166.26742404092,3.00306905370844,7922.622,2717.556,1.0,2909.828,3822.744,2.0,5357.212,2431.69,1.0,2532.372,35.774,2.0,44.328,10.908,2.0,25.08,16.653,13.0,16.998,465.3999999999999,13.0,267.427,13.064999999999998,13.0,126.568,386.181,3.0,159.731,awgn_m3p5_native_r12,-3.5,95,native,2026-08-30T08:49:42Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:51:23Z,2,0,0,101.0
awgn_m3p5_native_r13,1956,1672,95,95,94,378,18094.33467791411,3.0025562372188137,7751.806,2722.228,1.0,2903.932,3789.194,2.0,5325.494,2433.3619999999996,1.0,2524.343,35.686,2.0,38.955,11.074,2.0,32.206,17.16,13.0,26.081,465.14000000000004,13.0,227.769,13.078,13.0,18.581,386.268,3.0,218.312,awgn_m3p5_native_r13,-3.5,95,native,2026-08-30T08:51:23Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:53:05Z,2,0,0,102.0
awgn_m3p5_native_r14,1955,1671,95,95,94,378,18171.192457289002,3.00306905370844,7854.486,2724.8789999999995,1.0,3036.916,3812.864,2.0,5305.51,2442.054,1.0,2529.895,36.196,2.0,42.828,10.996,2.0,21.914,15.639000000000001,13.0,20.539,465.16599999999994,13.0,223.597,12.74,13.0,24.747,386.22300000000007,3.0,152.815,awgn_m3p5_native_r14,-3.5,95,native,2026-08-30T08:53:05Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:54:46Z,2,0,0,101.0
awgn_m3p5_native_r15,1957,1673,95,95,94,378,18132.09025293817,3.00204394481349,8499.554,2713.0930000000003,1.0,2959.116,3798.608,2.0,5298.878,2423.0310000000004,1.0,2535.909,35.804,2.0,37.288,10.91,2.0,59.327,17.186,13.0,23.956,468.32499999999993,13.0,190.689,12.779,13.0,25.038,385.11600000000004,3.0,169.4,awgn_m3p5_native_r15,-3.5,95,native,2026-08-30T08:54:46Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:56:28Z,2,0,0,102.0
awgn_m3p5_native_r16,1954,1670,95,95,94,378,18123.97867553736,3.0030706243602867,10174.423,2726.022,1.0,6467.641,3808.016,2.0,5337.076,2442.937,1.0,2517.182,36.096,2.0,46.328,11.134,2.0,31.954,16.237000000000002,13.0,23.747,464.074,13.0,277.674,13.0,13.0,20.622,386.466,3.0,153.314,awgn_m3p5_native_r16,-3.5,95,native,2026-08-30T08:56:28Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:58:09Z,2,0,0,101.0
awgn_m3p5_native_r17,1953,1669,95,95,94,377,18187.878581669225,3.002048131080389,8437.537,2723.683,1.0,2930.945,3806.104,2.0,5332.985,2433.75,1.0,2564.608,35.826,2.0,38.412,11.018,2.0,27.539,17.16,13.0,28.164,468.338,13.0,270.514,13.325,13.0,22.123,385.266,3.0,154.442,awgn_m3p5_native_r17,-3.5,95,native,2026-08-30T08:58:09Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T08:59:51Z,2,0,0,102.0
awgn_m3p5_native_r18,1954,1670,95,95,94,378,18198.47668372569,3.001535312180143,8042.607,2722.09,1.0,2948.252,3801.57,2.0,5298.454,2436.422,1.0,2581.923,35.748,2.0,48.494,10.958,2.0,23.33,16.809,13.0,25.997,464.82800000000003,13.0,223.222,12.766,13.0,23.997,386.664,3.0,155.355,awgn_m3p5_native_r18,-3.5,95,native,2026-08-30T08:59:51Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T09:01:32Z,2,0,0,101.0
awgn_m3p5_native_r19,1958,1674,95,95,94,378,18134.919472931564,3.002553626149132,8079.782,2720.553,1.0,2931.744,3790.2719999999995,2.0,5384.05,2437.465,1.0,2550.543,35.942,2.0,37.787,10.99,2.0,20.997,16.458,13.0,125.817,464.75,13.0,84.864,13.234,13.0,32.704,386.085,3.0,150.563,awgn_m3p5_native_r19,-3.5,95,native,2026-08-30T09:01:32Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T09:03:14Z,2,0,0,102.0
awgn_m3p5_native_r20,1955,1671,95,95,94,378,18197.415256265984,3.00306905370844,8588.613,2713.738,1.0,2899.158,3814.226,2.0,5348.787,2425.523,1.0,2513.288,35.866,2.0,41.787,11.484,2.0,24.622,17.264000000000003,13.0,23.955,466.79099999999994,13.0,277.8,13.39,13.0,221.307,386.229,3.0,149.773,awgn_m3p5_native_r20,-3.5,95,native,2026-08-30T09:03:14Z,riscv64,6.18.3-7-spacemit-generic,207aac94d13e714abac8062ebf869805f2acd6dc,2025.w34-dirty,0-15,userspace,2200000,2026-08-30T09:04:55Z,2,0,0,101.0
